BAG:brohulk add 1xGăng jean Calic lydo: Lấy từ body đệ vào hành trang at 03/05/2023 12:21 PM
BAG:brohulk add 18xĐá Vĩnh Hằng (old: 17) lydo: Mua santa at 03/05/2023 12:30 PM
BAG:brohulk add 18xĐá Hắc Hóa (old: 17) lydo: Mua santa at 03/05/2023 12:30 PM
BAG:brohulk add 19xĐá Vĩnh Hằng (old: 18) lydo: Mua santa at 03/05/2023 12:30 PM
BAG:brohulk add 19xĐá Hắc Hóa (old: 18) lydo: Mua santa at 03/05/2023 12:30 PM
BAG:brohulk add 20xĐá Vĩnh Hằng (old: 19) lydo: Mua santa at 03/05/2023 12:30 PM
BAG:brohulk add 20xĐá Hắc Hóa (old: 19) lydo: Mua santa at 03/05/2023 12:30 PM
BAG:brohulk add 1xGăng Hủy Diệt lydo: Cường Hóa trang bị at 03/05/2023 12:30 PM
BAG:brohulk add 33xGà quay nguyên con (old: 32) lydo: Nhặt từ map at 03/05/2023 12:31 PM
BAG:brohulk add 25xĐậu xanh (old: 24) lydo: Nhặt từ map at 03/05/2023 12:31 PM
BAG:brohulk add 1xGiầy nhựa lydo: Nhặt từ map at 03/05/2023 12:31 PM
BAG:brohulk add 31xBột mì (old: 30) lydo: Nhặt từ map at 03/05/2023 12:31 PM
BAG:brohulk add 20xTrứng vịt muối (old: 19) lydo: Nhặt từ map at 03/05/2023 12:32 PM
BAG:brohulk add 1xGăng vải đen lydo: Nhặt từ map at 03/05/2023 12:32 PM
BAG:brohulk add 1xGăng vải đen lydo: Nhặt từ map at 03/05/2023 12:32 PM
BAG:brohulk add 32xBột mì (old: 31) lydo: Nhặt từ map at 03/05/2023 12:32 PM
BAG:brohulk add 34xGà quay nguyên con (old: 33) lydo: Nhặt từ map at 03/05/2023 12:33 PM
BAG:brohulk add 21xTrứng vịt muối (old: 20) lydo: Nhặt từ map at 03/05/2023 12:33 PM
BAG:brohulk add 35xGà quay nguyên con (old: 34) lydo: Nhặt từ map at 03/05/2023 12:34 PM
BAG:brohulk add 22xTrứng vịt muối (old: 21) lydo: Nhặt từ map at 03/05/2023 12:34 PM
BAG:brohulk add 33xBột mì (old: 32) lydo: Nhặt từ map at 03/05/2023 12:34 PM
BAG:brohulk add 1xQuần vải đen lydo: Nhặt từ map at 03/05/2023 12:34 PM
BAG:brohulk add 26xĐậu xanh (old: 25) lydo: Nhặt từ map at 03/05/2023 12:34 PM
BAG:brohulk add 27xĐậu xanh (old: 26) lydo: Nhặt từ map at 03/05/2023 12:35 PM
BAG:brohulk add 36xGà quay nguyên con (old: 35) lydo: Nhặt từ map at 03/05/2023 12:35 PM
BAG:brohulk add 28xĐậu xanh (old: 27) lydo: Nhặt từ map at 03/05/2023 12:35 PM
BAG:brohulk add 29xĐậu xanh (old: 28) lydo: Nhặt từ map at 03/05/2023 12:35 PM
